Cycle,SD,FP,FZ,FailedZoneValue,FailedZoneDiff
1383,2.77559639414,-13.7961052346,11559,0.0513362,-2.24359056107
1384,2.77561479944,-13.7961490809,11559,0.0513362,-2.24354671473
1385,2.77563320038,-13.7961929314,11559,0.0513362,-2.24350286427
1386,2.77565159737,-13.7962367836,11559,0.0513362,-2.24345901202
1387,2.77566999293,-13.7962806386,11559,0.0513362,-2.24341515702
1388,2.77568838254,-13.7963244972,11559,0.0513362,-2.24337129846
1389,2.77570676751,-13.7963683578,11559,0.0513362,-2.24332743787
1390,2.77572514853,-13.7964122215,11559,0.0513362,-2.24328357413
1391,2.77574352691,-13.7964560872,11559,0.0513362,-2.2432397084
1392,2.77576190096,-13.7964999564,11559,0.0513362,-2.24319584299
1393,2.77578026968,-13.7965438281,11559,0.0513362,-2.24315197124
1394,2.77579863657,-13.7965877017,11559,0.0513362,-2.24310809769
1395,2.77581700073,-13.7966315788,11559,0.0513362,-2.24306422052
1396,2.77583535851,-13.7966754579,11559,0.0513362,-2.24302034142
1397,2.77585371326,-13.7967193397,11559,0.0513362,-2.24297645963
1398,2.77587206354,-13.796763224,11559,0.0513362,-2.2429325754
1399,2.77589040956,-13.7968071117,11559,0.0513362,-2.24288868764
1400,2.77590875133,-13.7968510014,11559,0.0513362,-2.24284479792
1401,2.77592708868,-13.7968948948,11559,0.0513362,-2.24280090458
1402,2.77594541857,-13.7969387918,11559,0.0513362,-2.24275700751
1403,2.77596374773,-13.7969826898,11559,0.0513362,-2.2427131133
1404,2.77598207165,-13.7970265922,11559,0.0513362,-2.24266921086
1405,2.77600039125,-13.7970704965,11559,0.0513362,-2.24262530654
1406,2.77601870583,-13.7971144041,11559,0.0513362,-2.24258139898
1407,2.77603701572,-13.7971583153,11559,0.0513362,-2.24253748775
1408,2.77605531953,-13.7972022304,11559,0.0513362,-2.24249357265
1409,2.77607362147,-13.7972461472,11559,0.0513362,-2.24244965592
1410,2.77609191728,-13.7972900674,11559,0.0513362,-2.2424057357
1411,2.77611020962,-13.7973339909,11559,0.0513362,-2.24236181222
1412,2.77612849714,-13.7973779183,11559,0.0513362,-2.24231788482
1413,2.77614677637,-13.7974218499,11559,0.0513362,-2.24227395322
1414,2.77616505293,-13.7974657843,11559,0.0513362,-2.24223002249
1415,2.77618332451,-13.7975097208,11559,0.0513362,-2.24218608596
1416,2.77620159289,-13.7975536625,11559,0.0513362,-2.24214214426
1417,2.77621985303,-13.7975976067,11559,0.0513362,-2.24209820015
1418,2.77623811131,-13.7976415542,11559,0.0513362,-2.24205425262
1419,2.77625636213,-13.7976855056,11559,0.0513362,-2.24201030118
1420,2.77627461158,-13.797729461,11559,0.0513362,-2.24196634584
1421,2.77629285456,-13.7977734192,11559,0.0513362,-2.24192238761
1422,2.77631109095,-13.7978173827,11559,0.0513362,-2.24187842414
1423,2.7763293215,-13.7978613503,11559,0.0513362,-2.24183445647
1424,2.77634754768,-13.7979053206,11559,0.0513362,-2.24179048617
1425,2.77636577125,-13.797949294,11559,0.0513362,-2.24174651277
1426,2.77638398864,-13.797993272,11559,0.0513362,-2.24170253849
1427,2.77640219861,-13.798037255,11559,0.0513362,-2.24165855551
1428,2.77642040773,-13.7980812397,11559,0.0513362,-2.24161457086
1429,2.77643860988,-13.79812523,11559,0.0513362,-2.24157058053
1430,2.77645680782,-13.7981692241,11559,0.0513362,-2.24152658639
1431,2.77647499927,-13.7982132233,11559,0.0513362,-2.2414825872
1432,2.77649318559,-13.7982572252,11559,0.0513362,-2.2414385853
1433,2.77651136712,-13.7983012312,11559,0.0513362,-2.24139457936
