zoneID,Oddy,OddyCycle,CN,CNcycle,AR,ARcycle,Taper,Tcycle,LargeAngle,LAngCycle,TotAng,TotAngCycle,Shape,ShapeCycle,ShSi,ShSiCy,Sr,SrCy,SrSi,SrSiCy
10292,8.22076,6696,2.26061,6696,1.6529,244,1.6529,0,151.297,6696,180.722,3583,0.442358,6696,0.442358,6696,0.480269,6696,0.480269,0.480269
10293,7.65679,6696,2.19736,6696,1.6482,244,1.6482,0,149.935,6696,180.765,5919,0.455091,6696,0.455091,6696,0.500977,6696,0.500977,0.500977
10294,3.46664,6696,1.65328,6696,1.65707,248,1.65707,0,142.603,6696,180.387,3375,0.60486,6696,0.60486,6696,0.60486,6696,0.60486,0.60486
10295,3.82218,6696,1.70619,6696,1.65408,245,1.65408,0,143.975,6696,180.406,3365,0.586101,6696,0.586101,6696,0.58648,6696,0.58648,0.58648
10296,4.2236,6696,1.76403,6696,1.65096,246,1.65096,0,145.236,6696,180.425,3365,0.566884,6696,0.566884,6696,0.569652,6696,0.569652,0.569652
10297,4.65473,6696,1.82411,6696,1.64772,246,1.64772,0,146.388,6696,180.444,3372,0.548214,6696,0.548214,6696,0.553562,6696,0.553562,0.553562
10298,5.07817,6696,1.88125,6696,1.64435,242,1.64435,0,147.383,6696,180.464,3443,0.531563,6696,0.531563,6696,0.539027,6696,0.539027,0.539027
10299,5.50318,6696,1.9369,6696,1.64087,243,1.64087,0,148.259,6696,180.483,3415,0.516288,6696,0.516288,6696,0.526075,6696,0.526075,0.526075
10300,5.89007,6696,1.98621,6696,1.63727,249,1.63727,0,148.967,6696,180.502,3449,0.503471,6696,0.503471,6696,0.515537,6696,0.515537,0.515537
10301,6.26683,6696,2.03308,6696,1.63355,247,1.63355,0,149.572,6696,180.521,3447,0.491865,6696,0.491865,6696,0.506454,6696,0.506454,0.506454
10302,6.59862,6696,2.07348,6696,1.62972,241,1.62972,0,150.055,6696,180.541,3511,0.482281,6696,0.482281,6696,0.499165,6696,0.499165,0.499165
10303,6.91009,6696,2.1107,6696,1.62579,240,1.62579,0,150.445,6696,180.56,3455,0.473777,6696,0.473777,6696,0.493265,6696,0.493265,0.493265
10304,7.1725,6696,2.14155,6696,1.62175,239,1.62175,0,150.749,6696,180.579,3540,0.466951,6696,0.466951,6696,0.488631,6696,0.488631,0.488631
10305,7.35054,6696,2.16224,6696,1.61761,238,1.61761,0,150.876,6696,180.599,3471,0.462484,6696,0.462484,6696,0.486696,6696,0.486696,0.486696
10306,7.4887,6696,2.17815,6696,1.61338,242,1.61338,0,150.962,6696,180.618,3544,0.459105,6696,0.459105,6696,0.485391,6696,0.485391,0.485391
10307,7.4552,6696,2.1743,6696,1.60905,240,1.60905,0,150.746,6696,180.638,3522,0.459917,6696,0.459917,6696,0.488675,6696,0.488675,0.488675
10308,7.33822,6696,2.16081,6696,1.60463,246,1.60463,0,150.33,6696,180.658,3578,0.462789,6696,0.462789,6696,0.495005,6696,0.495005,0.495005
10309,7.18598,6696,2.14313,6696,1.60013,237,1.60013,0,149.785,6696,180.677,3556,0.466608,6696,0.466608,6696,0.503253,6696,0.503253,0.503253
10310,6.98669,6696,2.11975,6696,1.59769,4242,1.59555,0,148.834,6696,180.698,3530,0.471754,6696,0.471754,6696,0.516595,6696,0.516595,0.516595
10311,3.6462,6696,1.68021,6696,1.60609,243,1.60609,0,143.315,6696,180.364,3366,0.595165,6696,0.595165,6696,0.595512,6696,0.595512,0.595512
10312,3.97624,6696,1.72862,6696,1.60317,238,1.60317,0,144.582,6696,180.382,3355,0.578497,6696,0.578497,6696,0.578497,6696,0.578497,0.578497
10313,4.34229,6696,1.78077,6696,1.60012,245,1.60012,0,145.739,6696,180.4,3373,0.561555,6696,0.561555,6696,0.562678,6696,0.562678,0.562678
10314,4.7165,6696,1.83255,6696,1.59695,242,1.59695,0,146.739,6696,180.418,3396,0.545687,6696,0.545687,6696,0.548459,6696,0.548459,0.548459
10315,5.08699,6696,1.88242,6696,1.59366,243,1.59366,0,147.604,6696,180.436,3414,0.531232,6696,0.531232,6696,0.535768,6696,0.535768,0.535768
10316,5.43195,6696,1.92769,6696,1.59025,233,1.59025,0,148.321,6696,180.454,3439,0.518757,6696,0.518757,6696,0.525156,6696,0.525156,0.525156
10317,5.75699,6696,1.96939,6696,1.58673,240,1.58673,0,148.91,6696,180.472,3443,0.507771,6696,0.507771,6696,0.51639,6696,0.51639,0.51639
10318,6.04118,6696,2.00514,6696,1.5831,237,1.5831,0,149.37,6696,180.49,3449,0.498718,6696,0.498718,6696,0.509489,6696,0.509489,0.509489
10319,6.2997,6696,2.03712,6696,1.57936,235,1.57936,0,149.726,6696,180.508,3452,0.490889,6696,0.490889,6696,0.504131,6696,0.504131,0.504131
10320,6.50108,6696,2.06168,6696,1.57551,232,1.57551,0,149.965,6696,180.526,3503,0.48504,6696,0.48504,6696,0.500522,6696,0.500522,0.500522
10321,6.63422,6696,2.07777,6696,1.57156,230,1.57156,0,150.042,6696,180.544,3455,0.481286,6696,0.481286,6696,0.499358,6696,0.499358,0.499358
10322,6.7051,6696,2.08628,6696,1.56752,237,1.56751,0,150.013,6696,180.563,3537,0.479323,6696,0.479323,6696,0.499806,6696,0.499806,0.499806
10323,6.67217,6696,2.08233,6696,1.56337,229,1.56337,0,149.773,6696,180.581,3489,0.480232,6696,0.480232,6696,0.503422,6696,0.503422,0.503422
10324,6.59467,6696,2.073,6696,1.55914,232,1.55914,0,149.422,6696,180.6,3575,0.482392,6696,0.482392,6696,0.508712,6696,0.508712,0.508712
10325,6.51269,6696,2.06309,6696,1.55482,231,1.55482,0,149.0,6696,180.618,3544,0.48471,6696,0.48471,6696,0.515034,6696,0.515034,0.515034
10326,6.52221,6696,2.06424,6696,1.55042,230,1.55042,0,148.695,6696,180.637,3564,0.484439,6696,0.484439,6696,0.517598,6696,0.517598,0.517598
10327,6.52475,6696,2.06455,6696,1.55241,4248,1.54594,0,148.061,6696,180.655,3457,0.484367,6696,0.484367,6696,0.525771,6696,0.525771,0.525771
10328,3.81846,6696,1.70565,6696,1.55809,235,1.55809,0,143.91,6696,180.342,3344,0.586288,6696,0.586288,6696,0.587612,6696,0.587612,0.587612
10329,4.13234,6696,1.75105,6696,1.55523,228,1.55523,0,145.088,6696,180.359,3350,0.571087,6696,0.571087,6696,0.57138,6696,0.57138,0.57138
10330,4.44175,6696,1.79468,6696,1.55224,231,1.55224,0,146.114,6696,180.376,3364,0.557202,6696,0.557202,6696,0.557306,6696,0.557306,0.557306
10331,4.7737,6696,1.84034,6696,1.54913,230,1.54913,0,147.003,6696,180.393,3362,0.543378,6696,0.543378,6696,0.544588,6696,0.544588,0.544588
10332,5.08049,6696,1.88155,6696,1.54591,229,1.54591,0,147.73,6696,180.41,3401,0.531475,6696,0.531475,6696,0.533912,6696,0.533912,0.533912
10333,5.36951,6696,1.91957,6696,1.54257,234,1.54257,0,148.33,6696,180.427,3419,0.52095,6696,0.52095,6696,0.525028,6696,0.525028,0.525028
10334,5.61478,6696,1.95125,6696,1.53912,224,1.53912,0,148.777,6696,180.444,3436,0.512491,6696,0.512491,6696,0.518363,6696,0.518363,0.518363
10335,5.83106,6696,1.97877,6696,1.53556,232,1.53556,0,149.109,6696,180.461,3441,0.505364,6696,0.505364,6696,0.5134,6696,0.5134,0.5134
10336,5.99068,6696,1.99883,6696,1.53189,223,1.53189,0,149.307,6696,180.478,3496,0.500292,6696,0.500292,6696,0.510442,6696,0.510442,0.510442
10337,6.08974,6696,2.01119,6696,1.52812,223,1.52812,0,149.343,6696,180.495,3444,0.497219,6696,0.497219,6696,0.509891,6696,0.509891,0.509891
10338,6.13108,6696,2.01632,6696,1.52425,222,1.52425,0,149.265,6696,180.512,3523,0.495953,6696,0.495953,6696,0.511063,6696,0.511063,0.511063
10339,6.09139,6696,2.01139,6696,1.52028,228,1.52028,0,148.986,6696,180.529,3449,0.497168,6696,0.497168,6696,0.515245,6696,0.515245,0.515245
10340,6.0426,6696,2.00532,6696,1.51622,222,1.51622,0,148.678,6696,180.547,3548,0.498674,6696,0.498674,6696,0.519841,6696,0.519841,0.519841
10341,5.99191,6696,1.99899,6696,1.51207,223,1.51207,0,148.324,6696,180.564,3494,0.500253,6696,0.500253,6696,0.525089,6696,0.525089,0.525089
10342,5.98583,6696,1.99823,6696,1.50784,221,1.50784,0,148.029,6696,180.582,3573,0.500443,6696,0.500443,6696,0.527748,6696,0.527748,0.527748
10343,6.09822,6696,2.01224,6696,1.50593,4238,1.50352,0,147.967,6696,180.599,3522,0.496959,6696,0.496959,6696,0.528256,6696,0.528256,0.528256
10344,6.12176,6696,2.01516,6696,1.51004,4259,1.49912,0,147.519,6696,180.616,3440,0.496238,6696,0.496238,6696,0.534275,6696,0.534275,0.534275
10345,5.94799,6696,1.99349,6696,1.59238,6696,1.49466,0,145.898,6696,180.631,3047,0.501633,6696,0.501633,6696,0.55631,6696,0.55631,0.55631
10346,5.64469,6696,1.95508,6696,1.75679,6696,1.49012,0,143.198,6696,180.648,2433,0.511488,6696,0.511488,6696,0.594978,6696,0.594978,0.594978
10347,5.25316,6696,1.90436,6696,1.98697,6696,1.48552,0,138.644,6696,180.67,3499,0.525111,6696,0.525111,6696,0.657181,6696,0.657181,0.657181
10348,3.99858,6696,1.73185,6696,1.51283,227,1.51283,0,144.433,6696,180.323,3360,0.577418,6696,0.577418,6696,0.580221,6696,0.580221,0.580221
10349,4.27954,6696,1.77194,6696,1.51001,223,1.51001,0,145.502,6696,180.339,3351,0.564353,6696,0.564353,6696,0.565471,6696,0.565471,0.565471
10350,4.563,6696,1.81149,6696,1.50708,222,1.50708,0,146.433,6696,180.355,3366,0.552031,6696,0.552031,6696,0.552254,6696,0.552254,0.552254
10351,4.82389,6696,1.84714,6696,1.50403,225,1.50403,0,147.201,6696,180.371,3375,0.541376,6696,0.541376,6696,0.541538,6696,0.541538,0.541538
10352,5.08254,6696,1.88183,6696,1.50086,220,1.50086,0,147.821,6696,180.387,3386,0.531399,6696,0.531399,6696,0.532566,6696,0.532566,0.532566
10353,5.30234,6696,1.9108,6696,1.49758,219,1.49758,0,148.285,6696,180.403,3412,0.52334,6696,0.52334,6696,0.5257,6696,0.5257,0.5257
10354,5.48554,6696,1.93462,6696,1.49419,217,1.49419,0,148.606,6696,180.419,3410,0.516896,6696,0.516896,6696,0.520914,6696,0.520914,0.520914
10355,5.61549,6696,1.95134,6696,1.4907,222,1.4907,0,148.783,6696,180.435,3454,0.512467,6696,0.512467,6696,0.518286,6696,0.518286,0.518286
10356,5.69282,6696,1.96123,6696,1.4871,216,1.4871,0,148.804,6696,180.451,3411,0.509885,6696,0.509885,6696,0.517965,6696,0.517965,0.517965
10357,5.71327,6696,1.96383,6696,1.48339,220,1.48339,0,148.693,6696,180.467,3480,0.509209,6696,0.509209,6696,0.519628,6696,0.519628,0.519628
10358,5.68246,6696,1.95991,6696,1.47959,214,1.47959,0,148.432,6696,180.483,3437,0.510229,6696,0.510229,6696,0.523412,6696,0.523412,0.523412
10359,5.63034,6696,1.95325,6696,1.47569,220,1.47569,0,148.104,6696,180.499,3530,0.511968,6696,0.511968,6696,0.527998,6696,0.527998,0.527998
10360,5.60091,6696,1.94948,6696,1.47171,219,1.4717,0,147.801,6696,180.515,3445,0.512958,6696,0.512958,6696,0.531899,6696,0.531899,0.531899
10361,5.57316,6696,1.94591,6696,1.46763,217,1.46763,0,147.479,6696,180.532,3562,0.513898,6696,0.513898,6696,0.536453,6696,0.536453,0.536453
10362,5.62945,6696,1.95313,6696,1.46347,215,1.46347,0,147.349,6696,180.547,3504,0.511998,6696,0.511998,6696,0.538266,6696,0.538266,0.538266
10363,5.71586,6696,1.96416,6696,1.466,4246,1.45922,0,147.28,6696,180.564,3515,0.509123,6696,0.509123,6696,0.538019,6696,0.538019,0.538019
10364,5.79698,6696,1.97446,6696,1.47038,4275,1.4549,0,146.991,6696,180.58,3414,0.506468,6696,0.506468,6696,0.542409,6696,0.542409,0.542409
10365,5.62869,6696,1.95303,6696,1.54996,6696,1.45051,0,145.55,6696,180.594,3021,0.512024,6696,0.512024,6696,0.56131,6696,0.56131,0.56131
10366,5.37756,6696,1.92062,6696,1.70794,6696,1.44605,0,142.88,6696,180.61,2252,0.520665,6696,0.520665,6696,0.598474,6696,0.598474,0.598474
10367,4.96345,6696,1.86594,6696,1.93666,6696,1.44153,0,138.462,6696,180.655,3530,0.535923,6696,0.535923,6696,0.65861,6696,0.65861,0.65861
